assuntos;tipos
requer que seja enviado ofício à semov , solicitando a efetivação de emenda parlamentar ao orçamento de 2019 , relativo à execução de obras de drenagem e pavimentação da tvdoutor pedro lopes cardoso , bairro pajuçara , natal , capital do estado do rio grande do norte;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando a efetivação de emenda parlamentar ao orçamento de 2019 , relativo à execução de obras de drenagem e pavimentação da rua poeta juvenal antunes , bairro pajuçara , natal , capital do estado do rio grande do norte;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando a efetivação de emenda parlamentar ao orçamento de 2019 , relativo à execução de obras de drenagem e pavimentação da travessa hirochi ienaga , bairro pajuçara , natal , capital do estado do rio grande do norte;REQUERIMENTO
requer que seja enviado a semov , em caráter de urgência , drenagem e pavimentação da 4ª travessa umuarama no conjunto santarém , zona norte;REQUERIMENTO
solicita , em caráter de urgência , a apreciação e aprovação no plenário da nota de repúdio contra a extinção do conselho nacional de direitos da pessoa com deficiência conade , em nome da comissão de defesa dos direitos das pessoas com deficiência e mobilidade reduzida;REQUERIMENTO
atendendo ao pedido da comunidade solicito a recuperação da rua ibituda a partir do número 2414 até a rua são joão da barraa comunidade tem reivindicado a realização dessa obra há muito tempo , especialmente por a rua já ser calçadano ano de 2013 , foi iniciado um esgotamento sanitário que nunca acabou , fazendo buracos na rua , causando , nos períodos de chuva , diversos transtornos para os moradores;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando operação tapa buraco na avenida prudente de morais sentido centro/sul , logo após a passagem de pedestre próxima a drogaria pague menos , no cruzamento com a avenida bernardo vieira , no bairro de lagoa nova;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando operação tapa buraco no cruzamento da rua dionísio filgueira com a rua coronel joaquim manoel , no bairro de petrópolis;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando operação tapa buraco na rua são josé , em trecho próximo ao cruzamento com a avenida alexandrino de alencar , no bairro de lagoa nova;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando em caráter de urgência a reposição dos refletores da academia da terceira idade localizada na praça tarcísio maia , situada na avenida das alagoas , conjunto pirangí , primeira etapa , bairro neópolis , natal/rn;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando em caráter de urgência a limpeza de toda a praça tarcísio maia , situada na avenida das alagoas , conjunto pirangí , primeira etapa , bairro neópolis , natal/rn;REQUERIMENTO
requer que seja enviado ofício à urbana , solicitando em caráter de urgência a retirada de lixos e entulhos na travessa serrinha com a abreulândia , bairro planalto , natal rn;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando a drenagem e a reposição de paralelepípedos da rua reverendo willian porto , bairro nova descoberta , zona sul de natal/rn;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando a drenagem e a reposição de paralelepípedos da rua reverendo willian porto , bairro nova descoberta , zona sul de natal/rn;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando a manutenção e troca das grades de drenagens de concreto , da rua engenheiro marcelo cabral , bairro nova descoberta , zona sul de natal/rn ;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando operação tapa buraco na rua mossoró , próximo a farmácia homeofórmula , no bairro do tirol;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando a limpeza , capinação e iluminação da praça do largo interventor ubaldo bezerra , no bairro de candelária;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando o concerto de galerias , na saída do túnel da ufrn em direção ao posto planalto , no bairro de candelária;REQUERIMENTO
requer que seja enviado ofício à secretaria municipal de esporte e lazer sel , solicitando a reforma da quadra de esportes do bairro da cidade da esperança , natal/rn;REQUERIMENTO
requer que seja enviado ofício à urbana , solicitando a limpeza da área interna da policlínica do bairro da cidade da esperança , natal/rn;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando a reparação do calçamento , na rua murilo de melo , entre a rua desembargador adauto maia e a avamintas barros , no bairro de lagoa nova , natal/rn;REQUERIMENTO
requer nos termos regimentais da câmara municipal do natal , requer nos termos regimentais da câmara municipal de natal , que seja marcado seção popular , com o seguinte tpronto atendimento upa , video monitoramento , capeamento asfáltico da avde genipabu , reforma e inserção da academia de 3º idade , na praça varela barca e ser realizada no dia 09 de maio do corrente ano as 19h na associação dos moradores de ponta negra e alagamar ampa bairro ponta negra;REQUERIMENTO
requer que seja enviado ofício à semurb , solicitando que seja enviado a comissão de planejamento urbano , meio ambiente , transporte e habitação , para prestar esclarecimento sobre o regramento dos food trucks;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando a manutenção da iluminação da rua trovador gumercino saraivavillage das dunas pajuçaracep 59122740;REQUERIMENTO
requer nos termos regimentais da câmara municipal de natal , que seja enviado ofício à companhia de serviços urbanos de natal urbana , solicitando a retirada de um ponto de lixo , localizado na esquina da avenida moema tinoco com a rua dr. carlos mesquita , no bairro pajuçara;REQUERIMENTO
requer nos termos regimentais da câmara municipal de natal , que seja enviado ofício à secretaria de meio ambiente e urbanismo de natal semurb , solicitando o serviço de caracterização da área e identificação de um prédio ao lado da cigarreira do pedrinho , localizada na avbrigadeiro gomes ribeira , no bairro nova descoberta;REQUERIMENTO
requer nos termos regimentais da câmara municipal do natal , que seja enviado ofício a secretaria municipal de mobilidade urbana sttu , solicitando o serviço de faixa de pedestre e placas de sinalização nas proximidades da escola centro educacional nosso amiguinho , localizada na rua mearim , bairro pitimbu;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando o conserto do calçamento cratera localizado no cruzamento das ruas alvorada com a são pedro , no bairro de igapó;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando a execução de serviços de tapaburaco na rua padre cícero , bairro de cidade nova;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando a pavimentação da rua santa clara , bairro potengiesta rua fica próxima ao kintal ii e ao seis em ponto , na zona norte de natal;REQUERIMENTO
requer ofício semov operação tapa buraco r prof antonio trigueiro x r tibiriçá felipe camarão ;REQUERIMENTO
requer ofício à sttu solicitando construção lombada na trav s. joaquim alecrim zona leste ;REQUERIMENTO
requer à semsur , solicitando substituição da lâmpada amarela por branca r santa cristina felipe camarão ;REQUERIMENTO
requer que seja enviado aos governadores dos estados da região nordeste , uma cópia do artigo intitulado uma deputado federal ney lopes de souza;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando que seja feita a poda das árvores rua nazaré da mata s/n , bairro cidade da esperança;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando a liberação do espaço público praça sabino mouro cavalcante , localizada entre avenida prudente de morais e alexandrino de alencarserá realizado um evento de ação social beneficiando a comunidade do natal , no dia 27 de abril do corrente ano , com inicio as 09h00min e termino as 17h00minhoras;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando que seja feita a recuperação do piso do pátio externo da igreja católica nossa senhora da esperança , na rua adolfo gordo , bairro da cidade da esperança;REQUERIMENTO
requer que seja enviado o ofício à semov , solicitando a operação tapa buraco na rua felipe dos santos bairro igapó , sob o cep 59.104280 ;REQUERIMENTO
requer que seja enviado o ofício à semov , solicitando a operação tapa buraco na rua euclides da cunha bairro pitimbu lateral da lagoa do pitimbu , sob o cep 59069400;REQUERIMENTO
requer que seja enviado requerimento à semsur , solicitando com a máxima urgência a limpeza geral e poda de árvores da praça mauá no conjunto gramoré bairro lagoa azul;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando a poda de árvores localizadas à rua dos potiguares , bairro cidade nova;REQUERIMENTO
acrescenta e altera artigos referentes ao código tributário do município de natal , lei nº 3.882 , de 11/12/1989 , e dá outras providências;PROJETO DE LEI COMPLEMENTAR
regulamenta o parágrafo 4º do artigo 9º da lei de responsabilidade fiscal , delimitando as datas e dando ampla divulgação das audiências públicas , obrigando o executivo municipal a realizálas com participação da sociedade civil organizada , e dá outras providências;PROJETO DE LEI
determina a obrigatoriedade de indicação da escala nas plantas baixas de materiais publicitários de imóveis , e dá outras providências;PROJETO DE LEI
institui a inclusão de atividades de psicomotricidade relacional nas escolas da rede pública de ensino no âmbito do município de natal , e dá outras providências;PROJETO DE LEI
dispõe sobre a concessão do titulo honorífico de cidadão natalence ao senhor geisonarley pinto florêncio e dá outras providencias;PROJETO DE DECRETO LEGISLATIVO
concede título de cidadão natalense ao sr. josé do santos figueirêdo , pelos relevantes serviços prestados ao município de natal e dá outras providências;PROJETO DE DECRETO LEGISLATIVO
requer que seja enviado ofício à semsur , solicitando a instalação de iluminação no poste 5103265805 situado na rua alto do monte belo , em frente 135 conjunto pirangi iii neópolis;REQUERIMENTO
requer que seja enviado ofício à urbana , solicitando a instalação de uma placa `` proibido colocar lixo '' no canteiro central da avenida porto de pedras , em frente ao número 4576 conjunto pirangi iii etapa bairro neópolis;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando a poda das árvores situadas na avenida porto de pedras , conjunto pirangi iii etapa bairro neópolis;REQUERIMENTO
requer nos termos regimentais da câmara municipal de natal , que seja enviado ofício a secretária danielle araújo mafra , titular da secretaria municipal de esporte e lazer sel solicitando a implantação da cobertura da quadra de esporte , situado na rua aristófanes fernandes no bairro do bom pastor ;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando a varrição , capinação , limpeza e pintura de meio fio da praça do 7º becmb localizada na rua norton chaves com a rua djalma maranhão nova descoberta;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando podação de árvores dentro da creche municipal selva capistrano lopes , localizado na rua pôrto de ilhéus nº 1252 , conjsoledade 2 bairro potengi , cep 59127190 natal rn;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando revisão e ligação de lâmpadas da lagoa de captação de candelária entre os condomínios residenciais green wood e green village , localizada na avjaguarari no bairro de candelária , natalrn;REQUERIMENTO
requer que seja enviado ofício à urbana , solicitando , limpeza e pintura do meio fio , localizada na avdas fronteiras , bairro potengi , natalrn;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando operação tapa buraco na avantônio basílio com a rua dos caicós , dixsept rosado , natal/rn;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando operação tapa buraco na rua amaro barreto com a avpresidente bandeira , alecrim , natal/rn;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando operação tapa buraco na rua tomaz xavier , quintas , natal/rn;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando o capeamento asfáltico da rua luiz lobo , bairro do alecrim;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando o capeamento asfáltico da rua mirabeau pereira , bairro do alecrim;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando o capeamento asfáltico da rua joão carlos , bairro do alecrim;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando a troca de lâmpada do poste sob o registro , a4814 , localizado à rua lindolfo gomes vidal , bairro pajuçara , em natal , rio grande do norte;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando instalação da academia da terceira idade , na praça david cunha , brasil novo , pajuçara , zona norte de natal;REQUERIMENTO
requer que seja enviado ofício à urbana , solicitando a retirada de lixo na rua são josé , em frente à rotatória;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando operação tapa buraco na rua são josé , em trecho próximo ao cruzamento com a rua perito josé lourenço , no bairro de lagoa nova;REQUERIMENTO
requer que seja enviado ofício à arsban , solicitando esclarecimento e informações acerca da fiscalização da porcentagem de nitrato contida na água distribuída na rede municipal;REQUERIMENTO
requer que seja enviado ofício à urbana , solicitando a limpeza pública capinação , pintura de meio fio e varredura , na rua guaratinguetá , por trás da escola cônego luiz wanderley , no conjunto gramoré , bairro lagoa azul , zona norte de natal/rn;REQUERIMENTO
requer que seja enviado ofício à secretaria municipal de serviços urbanos semsur , solicitando 10 carradas de areia para aterrar um minicampo de futebol , na rua guaratinguetá , conjunto gramoré , bairro lagoa azul , zona norte de natal/rn;REQUERIMENTO
requer que seja enviado voto de pesar a srajenny coelho bezerra , pelo falecimento de sua mãe a srapaula coelho costa bezerra;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando informações acerca do contrato nº 047/2010 , celebrado com a eit construções s/a , que sejam respondidas as questões referentes a pagamentos , valores e datas;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando a substituição das lâmpadas dos postes c4827 , c4828 , c4829 , b5946 , b5945 , b5943 , b5942 por lâmpadas mais potentes na rua teófilo brandão , bairro areia preta , natal/rn;REQUERIMENTO
requer que seja enviado ofício à secretaria municipal de saúde , solicitando o conserto de um vazamento de água no muro da policlínica , situada na rua adolfo gordo , no bairro da cidade da esperança , natal/rn;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando que seja realizada a limpeza na praça localizada em frente à igreja de santo agostinho bairro conjunto dos professores;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando operação tapa buraco na avdr joão medeiros filho , em frente ao mercadinho são miguel , bairro redinhacep 59122200;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando a pavimentação da rua da gameleirabairro redinhacep 59122220;REQUERIMENTO
requer nos termos regimentais da câmara municipal do natal , que seja enviado ofício a secretaria municipal de mobilidade urbana sttu , solicitando o serviço de recuperação , manutenção , asfáltica e sinalização , vertical e horizontal , no corredor exclusivo de transporte público , ao longo de toda a avenida bernardo vieira;REQUERIMENTO
requer que seja enviado ofício à sttu , solicitando a instalação de lombada na avmaranguape , conjpanatis , em frente ao condomínio nova europa;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando o conserto do calçamento cratera localizado na rua lauro bezerra , no lotnova república , próximo a padaria pão da vida;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando a pavimentação asfáltica da rua felipe dos santos , bairro de igapóa rua é utilizada como principal via de ligação do bairro de igapó , com a área de lazer do panatis;REQUERIMENTO
requer envio ofício sttu autorizando operação opcionais linha 506 vivendas leningrado ;REQUERIMENTO
requer envio ofício semov solicitando operação tapa buraco av n s do livramento felipe camarão ;REQUERIMENTO
requer à semsur solicitando substituição lampadas amarelas por brancas travsta luzia jdimporogresso ;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando iluminação dos postes c7242 e c7243 , localizados na rua josé francisco dos santos , alecrim;REQUERIMENTO
requer que seja enviado ofício à urbana , solicitando limpeza dos canteiros , localizado na rua são francisco de assis , bairro nossa senhora da apresentação loteamento vale dourado;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando troca de lâmpada do poste d7 731 , localizado na rua macaíba n°25 , cidade da esperança;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando operação tapa buraco na avenidaboa sorte , em toda sua extensão no , bairro nossa senhora da apresentação , natal/rn;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando o conserto de pavimentação na rua centro da lagoa , próximo/ou em frente a ruasão jose conjunto josé sarney bairro lagoa azul , natal/rn;REQUERIMENTO
requer que seja agendada para o dia 10 de abril de 2019 , às 9:30 horas , no plenário desta casa legislativa audiência pública para discutir o tema ﬁhorário especial ao servidor público do municipío de natal , que tenha como dependente pessoa com deficiênciaﬂ;REQUERIMENTO
requer que seja enviado ofício à sel , reiterando o pedido referente ao oficio de nº 46/2017 datado do dia 21 de julho do corrente ano , enviado a está secretariasolicitando para que fosse feito a manutenção das traves , substituição das redes , conserto dos alambrados , manutenção da tela superior , como também a pintura e demarcação da quadra de esporteslocalizada na rua coemaçu com a rua manuel andrade , bairro das quintas;REQUERIMENTO
requer que seja enviado ofício à sel , solicitando que seja feita a manutenção das traves , piso , demarcação de quadra poliesportiva , manutenção das tabelas de basquete , manutenção da mureta de proteção , substituição dos alambrados de proteção em torno da quadraa quadra poliesportiva está localizada na avenida são miguel dos caribés , bairro neópolis;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando que seja feita a limpeza , poda das arvores e reparo dos equipamentos da praça coronel do amor , localizada entre as ruas amianto , bauxita e betonita , conjunto portelândia , bairro lagoa nova;REQUERIMENTO
requer que seja enviado requerimento à semsur , solicitando com a máxima urgência a limpeza geral e poda de árvores da praça guarujá no conjunto gramoré bairro lagoa azul;REQUERIMENTO
requer que seja enviado requerimento à semsur , solicitando com a máxima urgência a limpeza geral e poda de árvores da praça ipanema no conjunto gramoré bairro lagoa azul;REQUERIMENTO
requer que seja enviado ofício à semtas , solicitando para ter mensalmente a feira de artesanato na praça da árvore bairro mirassol , zona sul da capital;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando a pavimentação do calçamento , na rua joão carlos , comunidade da guarita bairro alecrim , zona leste da capital;REQUERIMENTO
requer que seja enviado ofício à sms , solicitando a instalação de uma unidade básica de saúde ubs , no conjunto vila paraíso bairro igapó , zona norte desta capital;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando a substituição de lâmpadas em postes instalados à praça da amizade , rua da esmeralda , potilândia;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando a realização de manutenção e reparos no calçamento da rua santa clara , bairro potengi;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando a poda de árvores localizadas à praça da amizade , rua da esmeralda , potilândia;REQUERIMENTO
acrescenta e altera artigos referentes ao código tributário do município de natal , lei nº 3.882 , de 11/12/1989 , e dá outras providências;PROJETO DE LEI COMPLEMENTAR
reconhece de utilidade pública municipal a `` associação nacional dos aposentados , pensionistas e idosos força sindical '' , com sede e foro nesta capital;PROJETO DE LEI
dispõe sobre a obrigatoriedade da instalação de pontos de coleta de pneus usados inservíveis nos estabelecimentos que comercializam pneus , e da outras providências;PROJETO DE LEI
regulamenta o parágrafo 4º do artigo 9º da lei de responsabilidade fiscal , delimitando as datas e dando ampla divulgação das audiências públicas , obrigando o executivo municipal a realizálas com participação da sociedade civil organizada , e dá outras providências;PROJETO DE LEI
determina a obrigatoriedade de indicação da escala nas plantas baixas de materiais publicitários de imóveis , e dá outras providências;PROJETO DE LEI
institui a inclusão de atividades de psicomotricidade relacional nas escolas da rede pública de ensino no âmbito do município de natal , e dá outras providências;PROJETO DE LEI
requer que seja enviado ofício à sttu , solicitando a revitalização da pintura das faixas de pedestres situadas na avenida porto de pedras conjunto pirangi iii etapa bairro neópolis;REQUERIMENTO
requer que seja realizada sessão solene de entrega da medalha do mérito dr. miguel seabra fagundes , no dia 06 de agosto do ano em curso , às 18h no plenário vereador érico hackradt , desta augusta casa legislativa;REQUERIMENTO
requer nos termos regimentais da câmara municipal de natal , que seja enviado ofício ao ilustríssimo secretário municipal , jonny araújo da costa , titular da semsur , solicitando implantação de braço no poste 10 496 , na travessa sílvio caldas no bom pastor;REQUERIMENTO
requer nos termos regimentais da câmara municipal de natal , que seja enviado ofício ao secretário , daniel nicolau de vasconcelos pinheiro , titular da semub , notificar o órgão competente para providência a resolução do problema do esgoto exposto na avenida jerônimo câmara , nas imediações da ceasa/rn e conab;REQUERIMENTO
requer nos termos regimentais da câmara municipal de natal , que seja enviado ofício ao secretário , tomaz pereira de araújo neto , titular da semov , providência a resolução do problema do esgoto exposto na avenida jerônimo câmara , nas imediações da ceasa/rn e conab;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando a implantação postes e luminárias na calçada que fica no entorno do cemitério parque de nova descoberta no bairro de nova descoberta;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando a implantação de alameda para caminhadas sinalização e iluminação próprias para a referida atividade na praça desportista maurino sena localizada na rua da água marinha conjunto potilândia;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando a implantação de alameda para caminhadas sinalização e iluminação próprias para a referida atividade localizada na avenida capitão mor gouveia conjunto potilândia;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando podação de árvores entorno do campo de futebol formigão , localizado na rua pôrto de ilhéus , conjsoledade 2 bairro potengi , cep 59127190 natal rn;REQUERIMENTO
requer que seja enviado voto de profundo pesar , pelo falecimento da senhora maria de lourdes de sousa;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando limpeza e manutenção da lagoa de captação de candelária , localizada na avjaguarari no bairro de candelária , natalrn;REQUERIMENTO
requer que seja enviado voto de pesar , à senhora luzineide , funcionária da cmn , pelo falecimento do seu genitor , sr. cornélio ribeiro , natal/rn;REQUERIMENTO
requer que seja enviado ofício à sttu , a colocação da sinalização horizontal e vertical da rua professor jorge romano , no bairro de areia preta;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando a recuperação de alguns bancos da praça cívica , localizada no bairro de petrópolis ;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando a troca de lâmpadas dos postes nº , c6114 , c5927 , c6058 , m27273 , c6207 , c6208 , c6204 , c6202 , b6237 , b6239 , localizados no bairro de mãe luiza , em natal , rn;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando a limpeza do canteiro central , localizado na avalameda alexandrino de alencar , bairro tirol , em natal , capital do estado do rio grande do norte;REQUERIMENTO
requer que seja enviado ofício à urbana , solicitando a limpeza e capinação de toda extensão da rua guanabara , bairro mãe luíza , em natal , capital do estado do rio grande do norte;REQUERIMENTO
requer à sel , em caráter de urgência , a reforma e manutenção da quadra poliesportiva do conjunto brasil novo , pajuçara , zona norte de natal;REQUERIMENTO
requer à semsur , em caráter de urgência , a manutenção e a poda das árvores , bem como , a capinação da praça humorista david cunha , no brasil novo , zona norte de natal;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando operação tapa buraco na avenida coronel estevam , após a praça gentil ferreira , na faixa da direita;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando operação tapa buraco na avenida dos caicós antiga avenida 6 , no trecho entre a avenida bernardo vieira com a avenida nascimento de castro;REQUERIMENTO
requer que seja enviado ofício à urbana , solicitando a retirada de lixo em canteiros localizados na avenida alexandrino de alencar , no trecho compreendido entre a avenida prudente de morais e a base naval do alecrim;REQUERIMENTO
requer que seja enviado ofício à sttu , solicitando a instalação de abrigos cobertos nos 4 pontos de ônibus na avenida bom pastor , situados em frente aos cemitérios novo e velho , melhorando assim , o local para os populares que aguardam o transporte coletivo , a falta dessas paradas geram grandes transtornos principalmente nos horários de pico;REQUERIMENTO
requer que seja enviado ofício à sttu , solicitando a instalação de um abrigo coberto no ponto de ônibus na avenida bom pastor , situados em frente à igreja católica , melhorando assim , o local para os populares que aguardam o transporte coletivo , a falta dessas paradas geram grandes transtornos principalmente nos horários de pico;REQUERIMENTO
requer que seja enviado ofício à anac ag~encia nacional de aviação civil , solicitando esclarecimentos e informações acerca do alto preço das passagens aéreas dos vôos que partem do aeroporto internacional aluízio alves;REQUERIMENTO
requer que seja enviado ofício à abear agência brasileira de empresas aéreas , solicitando esclarecimentos e informações acerca do alto preço das passagens aéreas dos vôos que partem do aeroporto internacional aluízio alves;REQUERIMENTO
requer que seja enviado ofício à secretaria municipal de educação , solicitando a criação de um canal para recebimento de denúncia à respeito de bullyng no âmbito das escolas municipais de natal , visando coibir , prevenir e solucionar essa problemática tão comum;REQUERIMENTO
requer que seja enviado ofício à secretaria municipal de esporte e lazer sel , solicitando o reparo da quadra de esportes , que se encontra toda deteriorada , localizada no bairro vista verde , zona norte de natal/rn;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando a troca de lâmpadas queimadas dos postes nºs a6300 , a6301 , a6302 , a6345 , bm38517 e um sem nº , em frente à casa nº 366 , da rua josé miranda da silva , lotjardim brasil , bairro pajuçara , zona norte , natal/rn;REQUERIMENTO
requer que seja enviado ofício à secretaria municipal de obras públicas e infraestrutura semov , solicitando a conclusão da avjoão hélio , no bairro planalto zona oeste natal/rn;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando recapeamento asfáltico em toda avsolange nunes do nascimento , no bairro cidade nova;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando recapeamento asfáltico em toda a extensão da rua monte calvo , no bairro cidade nova;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando a podação de árvores em toda a extensão da avsolange nunes do nascimento , no bairro cidade nova;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando a reparação do asfalto no cruzamento da avprudente de morais e avnascimento de castro , no bairro de lagoa nova , natal/rn;REQUERIMENTO
requer que seja enviado ofício à urbana , solicitando a limpeza e remoção de poda de árvores do canteiro central da avcapitão mor gouveia , entre a rua dos canindés e rua dos potiguares no bairro de lagoa nova , natal/rn;REQUERIMENTO
