,assunto,n requerimento,partido,vereador
35,"- requer que seja enviado ofício à semov, solicitando a limpeza e manutenção da boca de lobo, entre as ruas da gameleira e rua são francisco. bairro: redinha. cep: 59122-600 ",01218/2019,sd,ver. klaus araújo 
36,"- requer que seja enviado ofício à semov, solicitando a pavimentação na travessa sem nome que está localizada próximo ao anel viário da redinha, entre as ruas conselheiro tristão e padre cícero romão. ",01219/2019,sd,ver. klaus araújo 
37,"de natal, que seja enviado ofício à secretaria municipal de obras públicas e infra-estrutura (semov), solicitando o serviço de pavimentação asfáltica na avenida bumba meu boi, no bairro de nova natal. ",01126/2019,requer,ver. kleber fernandes- pdt assunto:      
38,"de natal, que seja enviado ofício à secretaria municipal de obras públicas e infra-estrutura (semov), solicitando o serviço de pavimentação asfáltica na rua poeta revoredo neto, entre a avenida piloto carlos del prestes e a avenida caboclinhos, no bairro nordelandia. ",01127/2019,requer,ver. kleber fernandes- pdt assunto:      
39,"de natal, que seja enviado ofício à secretaria municipal de obras públicas e infra-estrutura (semov), solicitando o serviço de pavimentação asfáltica na rua tijuana, entre a avenida piloto carlos del prestes e a avenida caboclinhos, no bairro nordelandia. ",01128/2019,requer,ver. kleber fernandes- pdt assunto:      
40,"por 1 ano de falecimento da sra. maria lenice tavares custódio, mais conhecida como ""nice conselheira"", ocorrido no dia 29 de abril de 2018. ",01039/2019,requer,ver. luiz almir   sem partido  assunto:      
41,"solicitando a troca de lâmpadas queimadas nos postes de nº a3 633 / a3634, localizados na rua construtor severino bezerra, bairro salinas, zona norte de natal. ",01140/2019,requer,ver. luiz almir   sem partido  assunto:      
42,"solicitando a pavimentação da rua marcos domingos leite, bairro salinas, zona norte de natal. ",01143/2019,requer,ver. luiz almir   sem partido  assunto:      
43,"solicitando - instalação de uma placa de proibido parar e estacionar para substituir a anterior que já não se encontra na rua general francisco montenegro, nº 371- lagoa nova. ",01057/2019,requer,ver. maurício gurgel  psol assunto:      
44,"solicitando operação - caçamba para a retirada de lixo acumulado na travessa dr. monteiro de medeiros, com as ruas da jurema e rua mamoeiro , no conj. mar del plata, bairro do potengi.. ",01059/2019,requer,ver. maurício gurgel  psol assunto:      
45,"solicitando construção de uma lombada (quebra mola) e instalação de placas de sinalização ( proibido estacionar) na av. solange nunes do nascimento com a trav. solange nunes do nascimento, no bairro de cidade nova - natal/rn. ",01060/2019,requer,ver. maurício gurgel  psol assunto:      
46,"  - requer que seja enviado ofício à semov, solicitando operação tapa buraco na rua da tamarineira - felipe camarão, natal - rn, 59074-080 (em frente a escola maria queiroz). ",01204/2019,psdb,ver.  ney lopes júnior 
47,"  - requer que seja enviado ofício à sttu, solicitando instalação de sinal na av. dr. joão medeiros filho com a av. guadaluape (em frente a caixa econômica federal). ",01205/2019,psdb,ver.  ney lopes júnior 
48,"  - requer que seja enviado ofício à semov, solicitando pavimentação da travessa couto magalhães, bairro nossa senhora da apresentação. ",01206/2019,psdb,ver.  ney lopes júnior 
49,"  - requer que seja enviado ofício à semsur, solicitando que seja feita a poda das árvores da área verde localizada entre as ruas maracanã, cisnes e pintassilgos, conjunto cidade satélite, bairro pitimbu. ",01132/2019,psdb,ver.  paulinho freire 
50,"  - requer que seja enviado ofício à urbana, solicitando para que sejam realizados os serviços de limpeza, capinação, pintura do meio-fio e retirada de entulhos da rua patativas, no trecho entre algarobas e pintassilgos. ",01134/2019,psdb,ver.  paulinho freire 
51,"  - requer que seja enviado ofício à semsur, solicitando que seja feita a poda das árvores da área verde localizada entre avenida ayrton senna e as ruas fernando de noronha, pernambuco e alameda dos bouganvilles, conjunto neópolis, bairro neópolis. ",01136/2019,psdb,ver.  paulinho freire 
52,"  - requer que seja enviado o ofício à sel, solicitando as reformas gerais das quadras de esportes localizadas nos conjuntos: cidade satélite e bancários - bairro pitimbu, de acordo com a emenda impositiva totalizando no valor de r$ 516.000,00 (quinhentos e dezesseis mil reais) destinada a essa secretaria (sel). ",01153/2019,patriota,ver.  preto aquino 
53," - requer que seja enviado o ofício à semov, solicitando a realização da drenagem no cruzamento da avenida juliano moreira com a rua toritama, no conjunto pajuçara ii bairro pajuçara, sob o cep: 59131-430. ",01154/2019,patriota,ver.  preto aquino 
54," - requer que seja enviado o ofício à sms (secretaria municipal de saúde), solicitando a criação da central de exames laboratoriais na zona norte. ",01155/2019,patriota,ver.  preto aquino 
55,"solicitando a limpeza da calçada de terreno à rua américo soares wanderley, capim macio. ",01224/2019,requer,ver.  robson carvalho  pmb   assunto:       
56,"entrega de título de cidadão natalense aos senhores francesco farruggia e dino lincoln figueirôa, no dia 03 de junho de 2019, às 9h, em local externo às dependências da câmara municipal. ",01189/2019,requer,ver.  sueldo medeiros  phs   assunto:       
57,"entrega de título de cidadão natalense ao senhor andré laurindo maitelli, no dia 22 de agosto de 2019, às 19h. ",01194/2019,requer,ver.  sueldo medeiros  phs   assunto:       
58,"- requer que seja enviado ofício à sttu, solicitando a revitalização da pintura das faixas de pedestres situadas na avenida porto de pedras  conjunto pirangi iii etapa  bairro neópolis.  ",00630/2019,psdc,vera. ana paula 
59,"- requer que seja realizada sessão solene de entrega da medalha do mérito dr. miguel seabra fagundes, no dia 06 de agosto do ano em curso, às 18h no plenário vereador érico hackradt, desta augusta casa legislativa.  ",00741/2019,psdc,vera. ana paula 
60,"- requer nos termos regimentais da câmara municipal de natal, que seja enviado ofício ao ilustríssimo secretário municipal, jonny araújo da costa, titular da semsur, solicitando implantação de braço no poste (10 496), na travessa sílvio caldas no bom pastor. ",00666/2019,psdb,ver. aroldo alves 
61,"- requer nos termos regimentais da câmara municipal de natal, que seja enviado ofício ao secretário, daniel nicolau de vasconcelos pinheiro, titular da semub, notificar o órgão competente para providência a resolução do problema do esgoto exposto na avenida jerônimo câmara, nas imediações da ceasa/rn e conab. ",00667/2019,psdb,ver. aroldo alves 
62,"- requer nos termos regimentais da câmara municipal de natal, que seja enviado ofício ao secretário, tomaz pereira de araújo neto, titular da semov, providência a resolução do problema do esgoto exposto na avenida jerônimo câmara, nas imediações da ceasa/rn e conab. ",00709/2019,psdb,ver. aroldo alves 
63,"- requer que seja enviado ofício à semsur, solicitando a implantação postes e luminárias na calçada que fica no entorno do cemitério parque de nova descoberta  no bairro de nova descoberta.  ",00712/2019,pdt,ver. ary gomes 
64,"- requer que seja enviado ofício à semsur, solicitando a implantação de alameda para caminhadas  sinalização e iluminação próprias para a referida atividade  na praça desportista maurino sena  localizada na rua da água marinha conjunto potilândia.  ",00737/2019,pdt,ver. ary gomes 
65,"- requer que seja enviado ofício à semsur, solicitando a implantação de alameda para caminhadas  sinalização e iluminação próprias para a referida atividade  localizada na avenida capitão mor gouveia  conjunto potilândia. ",00738/2019,pdt,ver. ary gomes 
66,"- requer que seja enviado ofício à semsur, solicitando podação de árvores (entorno do campo de futebol formigão), localizado na rua pôrto de ilhéus, conj. soledade 2  bairro potengi, cep: 59127-190  natal rn.  ",00610/2019,pros,ver.ª carla dickson 
67,"                                                                                                                                                                                                                                                 assunto:     - requer que seja enviado voto de profundo pesar, pelo falecimento da senhora maria de lourdes de sousa. ",00620/2019,pros,ver.ª carla dickson 
68,"- requer que seja enviado ofício à semov, solicitando limpeza e manutenção da lagoa de captação de candelária, localizada na av. jaguarari no bairro de candelária, natal-rn. ",00655/2019,pros,ver.ª carla dickson 
69,"que seja enviado voto de pesar, à senhora luzineide, funcionária da cmn, pelo falecimento do seu genitor, sr. cornélio ribeiro, natal/rn.  ",00750/2019,dem,ver. dagô do forró 
70,"que seja enviado ofício à sttu, a colocação da sinalização horizontal e vertical da rua professor jorge romano, no bairro de areia preta. ",00680/2019,psdb,ver. dickson nassser júnior 
71,"que seja enviado ofício à semsur, solicitando a recuperação de alguns bancos da praça cívica, localizada no bairro de petrópolis  ",00740/2019,psdb,ver. dickson nasser júnior 
72,"que seja enviado ofício à semsur, solicitando a troca de lâmpadas dos postes nº, c6-114, c5-927, c6-058, m27-273, c6-207, c6-208, c6-204, c6-202, b6-237, b6-239, localizados no bairro de mãe luiza, em natal, rn.  ",00621/2019,pmb,ver. dinarte torres 
73,"que seja enviado ofício à semsur, solicitando a limpeza do canteiro central, localizado na av. alameda alexandrino de alencar, bairro tirol, em natal, capital do estado do rio grande do norte. ",00622/2019,pmb,ver. dinarte torres 
74,"que seja enviado ofício à urbana, solicitando a limpeza e capinação de toda extensão da rua guanabara, bairro mãe luíza, em natal, capital do estado do rio grande do norte. ",00623/2019,pmb,ver. dinarte torres 
75,"à sel, em caráter de urgência, a reforma e manutenção da quadra poliesportiva do conjunto brasil novo, pajuçara, zona norte de natal.  ",00751/2019,pt,vera. divaneide lula basílio 
76,"à semsur, em caráter de urgência, a manutenção e a poda das árvores, bem como, a capinação da praça humorista david cunha, no brasil novo, zona norte de natal.  ",00759/2019,pt,vera. divaneide lula basílio 
77,"que seja enviado ofício à semov, solicitando operação tapa buraco na avenida coronel estevam, após a praça gentil ferreira, na faixa da direita. ",00639/2019,psl,vera. eleika bezerra 
78,"que seja enviado ofício à semov, solicitando operação tapa buraco na avenida dos caicós (antiga avenida 6), no trecho entre a avenida bernardo vieira com a avenida nascimento de castro.  ",00640/2019,psl,vera. eleika bezerra 
79,"que seja enviado ofício à urbana, solicitando a retirada de lixo em canteiros localizados na avenida alexandrino de alencar, no trecho compreendido entre a avenida prudente de morais e a base naval do alecrim.  ",00641/2019,psl,vera. eleika bezerra 
80,"que seja enviado ofício à sttu, solicitando a instalação de abrigos cobertos nos 4 pontos de ônibus na avenida bom pastor, situados em frente aos cemitérios novo e velho, melhorando assim, o local para os populares que aguardam o transporte coletivo, a falta dessas paradas geram grandes transtornos principalmente nos horários de pico.  ",00742/2019,podemos,ver. eriko jácome 
81,"que seja enviado ofício à sttu, solicitando a instalação de um abrigo coberto no ponto de ônibus na avenida bom pastor, situados em frente à igreja católica, melhorando assim, o local para os populares que aguardam o transporte coletivo, a falta dessas paradas geram grandes transtornos principalmente nos horários de pico.  ",00743/2019,podemos,ver. eriko jácome 
82,"que seja enviado ofício à anac - ag~encia nacional de aviação civil, solicitando esclarecimentos e informações acerca do alto preço das passagens aéreas dos vôos que partem do aeroporto internacional aluízio alves.  ",00720/2019,mdb,ver. felipe alves 
83,"que seja enviado ofício à abear - agência brasileira de empresas aéreas, solicitando esclarecimentos e informações acerca do alto preço das passagens aéreas dos vôos que partem do aeroporto internacional aluízio alves.  ",00734/2019,mdb,ver. felipe alves 
84,"que seja enviado ofício à secretaria municipal de educação, solicitando a criação de um canal para recebimento de denúncia à respeito de bullyng no âmbito das escolas municipais de natal, visando coibir, prevenir e solucionar essa problemática tão comum.  ",00735/2019,mdb,ver. felipe alves 
85,"- requer que seja enviado ofício à secretaria municipal de esporte e lazer  sel, solicitando o reparo da quadra de esportes, que se encontra toda deteriorada, localizada no bairro vista verde, zona norte de natal/rn.  ",00747/2019,pt,ver. fernando lula lucena 
86,"- requer que seja enviado ofício à semsur, solicitando a troca de lâmpadas queimadas dos postes nºs a6-300, a6-301, a6-302, a6-345, bm-38517 e um sem nº, em frente à casa nº 366, da rua josé miranda da silva, lot. jardim brasil, bairro pajuçara, zona norte, natal/rn.  ",00748/2019,pt,ver. fernando lula lucena 
87,"- requer que seja enviado ofício à secretaria municipal de obras públicas e infra-estrutura- semov , solicitando a conclusão da av. joão hélio, no bairro planalto  zona oeste  natal/rn.  ",00749/2019,pt,ver. fernando lula lucena 
88,"- requer que seja enviado ofício à semov, solicitando recapeamento asfáltico em toda av. solange nunes do nascimento, no bairro cidade nova.  ",00723/2019,psb,ver. franklin capistrano 
89,"- requer que seja enviado ofício à semov, solicitando recapeamento asfáltico em toda a extensão da rua monte calvo, no bairro cidade nova.  ",00727/2019,psb,ver. franklin capistrano 
90,"- requer que seja enviado ofício à semsur, solicitando a podação de árvores em toda a extensão da av. solange nunes do nascimento, no bairro cidade nova.  ",00728/2019,psb,ver. franklin capistrano 
91,"solicitando a reparação do asfalto no cruzamento da av. prudente de morais e av. nascimento de castro, no bairro de lagoa nova, natal/rn.  ",00760/2019,requer,ver. fúlvio saulo  sd assunto:      
92,"solicitando a limpeza e remoção de poda de árvores do canteiro central da av. capitão mor gouveia, entre a rua dos canindés e rua dos potiguares no bairro de lagoa nova, natal/rn. ",00761/2019,requer,ver. fúlvio saulo  sd assunto:      
93,"solicitando a limpeza do canteiro central da av. antônio basílio, entre a av. jaguarari e av. prudente de morais, no bairro de lagoa nova, natal/rn. ",00762/2019,requer,ver. fúlvio saulo  sd assunto:      
94,"- requer que seja enviado ofício à semov, solicitando a pavimentação na rua josé dos santos. bairro  redinha. cep: 59122-085. ",00756/2019,sd,ver. klaus araújo 
95,"- requer que seja enviado ofício à semov, solicitando a pavimentação na rua dos lírios, conjunto das flores. bairro  redinha. cep: 59122-300. ",00757/2019,sd,ver. klaus araújo 
96,"- requer que seja enviado ofício à semov, solicitando a limpeza da lagoa de capitação, na rua padre cícero romão, na - bairro: redinha. ",00758/2019,sd,ver. klaus araújo 
97,"- requer nos termos regimentais da câmara municipal de natal, que seja enviado ofício à secretaria municipal de serviços urbanos (semsur), solicitando que seja feito um projeto para implantação de uma praça que na área verde localizada no rua mote glosa, em nova natal. ",00600/2019,pdt,ver. kleber fernandes 
98,"- requer nos termos regimentais da câmara municipal do natal, que seja enviado ofício a secretaria municipal de mobilidade urbana (sttu), solicitando a revitalização da faixa de pedestre, localizada em frente à escola municipal são francisco de assis, na avenida miguel castro, bairro lagoa nova. ",00607/2019,pdt,ver. kleber fernandes 
99,"- requer nos termos regimentais da câmara municipal de natal, que seja enviado ofício à secretaria municipal de serviços urbanos (semsur), solicitando a instalação de braços de luminárias na ubs (unidade básica de saúde), localizada na rua do pastoril, no bairro nova natal. ",00608/2019,pdt,ver. kleber fernandes 
100,solicitando a execução das obras de conclusão do asfaltamento das avenidas hermes da fonseca e salgado filho. ,00744/2019,requer,ver. luiz almir   sem partido assunto:      
101,"solicitando a conclusão da obra do posto de saúde do conj. dos garís, alto da torre e plaza garden. ",00745/2019,requer,ver. luiz almir   sem partido  assunto:      
102,"solicitando a execução de serviços de tapa-buraco na av. pres. josé sarmento, bairro do alecrim, no trecho compreendido entre a feira e a av. jaguarari, bairro de lagoa seca. ",00746/2019,requer,ver. luiz almir   sem partido  assunto:      
103,bueiros av. gov. antonio de melo e sousa - conj pajuçara ,00674/2019,,ver. maurício gurgel  psol assunto:      
104,carro fumacê conj. mar del plata - potengi  zn ,00675/2019,requer,ver. maurício gurgel  psol assunto:     
105,r. feira de santana x r. porto seguro - soledade  zn ,00676/2019,requer,ver. maurício  gurgel  psol assunto:      
106,- requerimento sessão solene em homenagem ao dia do advogado. ,00551/2019,psd,ney lopes júnior 
107,"- requer que seja enviado ofício à semsur, solicitando manutenção do bondinho, localizado no parque da cidade dom nivaldo monte - na av. pref. omar o'grady - pitimbú, natal. ",00701/2019,psd,ney lopes júnior 
108,"solicitando operação tapa buraco na avenida. guararapes em toda sua extensão no conjunto gramoré, bairro lagoa azul, natal/rn. ",00695/2019,requer, vera. nina souza- pdt assunto:      
109,"- requer que seja enviado ofício à sttu, solicitando a sinalização vertical e horizontal da rua. sergipe, próximo/ou em frente ao intelectual colégio e curso  igapó, natal/rn ",00696/2019,pdt,vera. nina souza 
110,"- requer que seja enviado ofício à semov, solicitando reparo na pavimentação na rua. ilha bela em toda sua extensão no conjunto gramoré, bairro lagoa azul, natal/rn. ",00697/2019,pdt,vera. nina souza 
111,"  - requer que seja realizado o serviço de limpeza, poda das árvores da área verde conhecida como praça maria helena barroso, localizada entre as alamedas: castanholas, bougainville e avenida ayrton senna. situada no conjunto residencial neópolis, bairro neópolis. ",00524/2019,psdb,ver.  paulinho freire 
112,"  - requer que seja enviado ofício à semov, solicitando que seja realizado o serviço de limpeza e manutenção da lagoa de captação localizada entre as avenidas paulistana, acaraú e ruas pacajus e palmácea, bairro potengi. ",00526/2019,psdb,ver.  paulinho freire 
113,"  - requer que seja enviado ofício à semov, solicitando que seja realizado o serviço de capeamento asfáltico na rua dos tororós, entre as avenidas miguel castro e gerônimo câmara, bairro lagoa nova. ",00527/2019,psdb,ver.  paulinho freire 
114,"  - requer que seja enviado o requerimento à urbana, solicitando a limpeza geral (capinação, parte interna e externa) da unidade de saúde (ubs) vista verde, na rua linda batista  bairro pajuçara, sob o cep: 59132-780. ",00516/2019,patriota,ver.  preto aquino 
115," - requer que seja enviado ofício à semov, solicitando operação tapa buraco no anel viário, conjunto cidade satélite - bairro pitimbu. ",00517/2019,patriota,ver.  preto aquino 
116," - requer que seja enviado ofício à semov, solicitando o serviço de terraplenagem com motoniveladora na av. tropical - bairro pitimbu, sob o cep: 59066-360. ",00519/2019,patriota,ver.  preto aquino 
117,"solicitando a recuperação do buraco existente no calçamento, na rua: antônio melo (nas proximidades do nº 1298)  bairro: barro vermelho, zona leste da capital. ",00647/2019,requer,ver.  raniere barbosa  avante   assunto:       
118,"solicitando a operação tapa buraco, da rua: amaro barreto (em frente à praça gentil ferreira)  bairro: alecrim, zona leste da capital. ",00648/2019,requer,ver.  raniere barbosa  avante   assunto:       
119,"solicitando a sinalização horizontal da rua dos paiatís (antiga avn. 11) com a rua: presidente sarmento (antiga avn. 04)  bairro: alecrim, zona leste, desta capital. ",00549/2019,requer,ver.  raniere barbosa  avante   assunto:       
120,"solicitando a poda de árvores localizadas à rua dias d'ávila, conj. soledade i, potengi. ",00564/2019,requer,ver.  robson carvalho  pmb   assunto:       
121,"solicitando a realização de operação tapa buraco à av. cap. mor gouveia, potilândia, lagoa nova. ",00644/2019,requer,ver.  robson carvalho  pmb   assunto:       
122,"solicitando a poda de árvores localizadas à rua dos pajeús, entre as ruas pte. mascarenhas e leão veloso. ",00646/2019,requer,ver.  robson carvalho  pmb   assunto:       
123," - requer que seja enviado ofício à semsur, à av. maranguape, entre as ruas aracati e hidrolândia, no bairro potengi. ",00725/2019,phs,ver. sueldo medeiros 
124," - requer que seja enviado ofício à semov, solicitando serviço de manutenção (roçagem do capim, limpeza e restauração do muro) na lagoa de captação situada entre as ruas nova galiléia, couto magalhães, rizomar correia dos santos e a av. miguel de cervantes - nossa senhora da apresentação. ",00726/2019,phs,ver. sueldo medeiros 
125,"- requer que seja enviado ofício à semsur, solicitando a instalação de iluminação no poste: 5103265805 situado na rua alto do monte belo, em frente 135 œ conjunto pirangi iii œ neópolis. ",00806/2019,psdc,vera. ana paula 
126,"- requer que seja enviado ofício à urbana, solicitando a instalação de uma placa ""proibido colocar lixo"" no canteiro central da avenida porto de pedras, em frente ao número 4576 œ conjunto pirangi iii etapa œ bairro neópolis. ",00836/2019,psdc,vera. ana paula 
127,"- requer que seja enviado ofício à semsur, solicitando a poda das árvores situadas na avenida porto de pedras, conjunto pirangi iii etapa œ bairro neópolis. ",00845/2019,psdc,vera. ana paula 
128,"de natal, que seja enviado ofício a secretária danielle araújo mafra, titular da secretaria municipal de esporte e lazer - sel solicitando a implantação da cobertura da quadra de esporte, situado na rua aristófanes fernandes no bairro do bom pastor ",00780/2019,requer,ver. aroldo alves- psdb assunto:      
129,"semsur, solicitando a varrição, capinação, limpeza e pintura de meio fio da praça do 7º becmb œ localizada na rua norton chaves com a rua djalma maranhão œ nova descoberta. ",00739/2019,,ver. ary gomes- pdt assunto:      
130,"- requer que seja enviado ofício à semsur, solicitando podação de árvores (dentro da creche municipal selva capistrano lopes), localizado na rua pôrto de ilhéus nº 1252, conj. soledade 2 œ bairro potengi, cep: 59127-190 œ natal rn. ",00656/2019,pros,ver.ª carla dickson 
131,"que seja enviado ofício à semsur, solicitando revisão e ligação de lâmpadas da lagoa de captação de candelária (entre os condomínios residenciais green wood e green village), localizada na av. jaguarari no bairro de candelária, natal-rn. ",00657/2019-,pros,carladickson 
132,"- requer que seja enviado ofício à urbana, solicitando, limpeza e pintura do meio fio, localizada na av. das fronteiras, bairro potengi, natal-rn. ",00765/2019,pros,ver.ª carla dickson 
133,"que seja enviado ofício à semov, solicitando operação tapa buraco na av. antônio basílio com a rua dos caicós, dix-sept rosado, natal/rn. ",00822/2019,dem,ver. dagô do forró 
